Crank That (Soulja Boy),Soulja Boy,0.644711,0.712074,239.72222,0.408885,0.0,10,0.310106,-12.151,0,0.170539,70.022,4,0.835462
Heartbreak Warfare,John Mayer,0.217669,0.61091,266.44,0.599561,0.00094,2,0.221555,-6.832,1,0.022733,97.047,4,0.293365
Let It Rock,Kevin Rudolf,0.00148,0.576369,209.50621,0.921349,5e-06,7,0.387407,-2.955,1,0.161673,129.996,4,0.733551
FOREVER,Drake,0.485053,0.640229,300.06812,0.495103,3.7e-05,5,0.326892,-14.237,0,0.390711,105.038,5,0.618071
Ridin',Chamillionaire,0.199919,0.785918,303.17333,0.786719,0.0,11,0.24242,-5.432,1,0.093417,143.046,4,0.854216
Pump It,The Black Eyed Peas,0.004567,0.535059,210.22667,0.750794,4.3e-05,4,0.348829,-6.781,1,0.072347,158.041,4,0.801345
Can't Tell Me Nothing,Kanye West,0.012017,0.612485,263.16,0.683584,0.0,5,0.892659,-5.545,0,0.081845,80.021,4,0.070805
Love The Way You Lie,Eminem,0.223855,0.746833,263.37333,0.935101,0.0,10,0.514973,-5.079,1,0.249483,87.021,4,0.613371
Invincible,OK Go,0.000219,0.259924,211.00757,0.529974,0.000825,0,0.14148,-16.315,1,0.046876,95.682,4,0.519151
Remember the Name (feat. Styles of Beyond) [Funkadelic Remix],Fort Minor,0.019135,0.707536,217.35955,0.774971,6e-05,2,0.05536,-6.817,1,0.141262,84.899,4,0.502938
In The Night,The Weeknd,0.066476,0.322142,235.65333,0.685803,0.0,7,0.045968,-4.961,1,0.150931,167.618,3,0.522208
Some Type Of Love,Charlie Puth,0.353435,0.7055,185.60848,0.588522,0.0,2,0.105348,-6.051,1,0.079954,90.491,4,0.409959
One Call Away,Charlie Puth,0.421527,0.668479,190.24,0.617561,0.0,1,0.105805,-5.375,1,0.033588,90.991,4,0.423906
Trap Queen,Fetty Wap,0.14855,0.791892,162.11592,0.784402,0.0,7,0.067531,-4.261,1,0.110161,148.082,4,0.834395
Family & Music,Chubz,0.032881,0.650153,195.35778,0.85296,4e-06,1,0.239774,-5.329,1,0.077212,89.985,4,0.868812
Love Don't Change,Jeremih,0.321411,0.592804,256.70667,0.424911,0.0,11,0.127764,-9.347,1,0.044529,117.964,4,0.160689
Oblivion,Bastille,0.759515,0.422123,196.34667,0.320601,2e-06,5,0.429346,-8.952,1,0.029413,78.533,4,0.253172
Gives You Hell,The All-American Rejects,0.014828,0.717131,210.49333,0.677478,0.0,4,0.075341,-6.493,1,0.037925,100.005,4,0.576155
Don't Trust Me (Casey Bates Remix),3OH!3,0.008986,0.614206,197.36,0.938416,0.0,7,0.234706,-2.964,0,0.058209,130.046,4,0.48072
Cooler Than Me (Single Mix),Mike Posner,0.125034,0.700506,213.48,0.83148,2e-06,7,0.538792,-4.726,0,0.067589,129.943,4,0.604639
The Fighter (feat. Ryan Tedder),Gym Class Heroes,0.066535,0.59099,227.4,0.921922,0.0,7,0.283702,-4.073,1,0.129642,99.013,4,0.42935
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,0.045004,0.647446,211.66667,0.798642,0.0,9,0.233043,-3.91,1,0.110017,90.024,4,0.805184
Everything Will Be OK,G-Eazy,0.121503,0.566787,311.37333,0.539138,0.0,0,0.109858,-11.203,0,0.169348,91.205,4,0.437588
Soldier,Before You Exit,0.740937,0.517035,214.34585,0.529264,0.0,8,0.075422,-4.957,1,0.028651,78.121,4,0.495084
Rock Wit Me (feat. IAMSU!),Trevor Jackson,0.004575,0.586708,204.63156,0.624581,0.0,2,0.175763,-7.092,1,0.064661,126.201,5,0.213305
Home,EMBRZ,0.665933,0.594549,222.98122,0.644871,0.008604,7,0.08123,-8.887,1,0.050058,90.003,4,0.203456
Dare You To Move,Switchfoot,0.008189,0.433997,238.4,0.916981,0.002975,4,0.458728,-5.131,1,0.054716,139.986,4,0.220429
Cheerleader - Felix Jaehn vs Salaam Remi Remix,Omi,0.065162,0.793416,182.28,0.740107,0.0,4,0.171287,-4.54,1,0.046551,117.934,4,0.700578
Put It on (feat. Dante Leon),Dyson,0.018684,0.53237,220.0,0.434672,0.0,9,0.100191,-9.576,0,0.451029,84.137,5,0.332746
Skippin',Mario,0.192187,0.781881,239.17333,0.663297,0.0,10,0.119818,-6.883,0,0.215943,123.945,4,0.600795
Eyes Shut,Years & Years,0.185528,0.539968,204.93306,0.39454,0.000486,9,0.085781,-10.662,0,0.080898,97.986,4,0.415132
Open Your Eyes,CMA,0.853902,0.493324,382.64163,0.61088,0.888033,6,0.107411,-12.034,1,0.031745,138.018,4,0.118292
Open Your Eyes,Snow Patrol,0.001618,0.519786,350.78354,0.468487,0.021705,7,0.365119,-17.359,1,0.037494,130.948,4,0.045258
Jump (Album Version (Edited)),Rihanna,0.21883,0.628154,264.45333,0.814572,0.006812,0,0.190743,-6.216,1,0.329471,162.073,4,0.428097
Pony,Ginuwine,0.003083,0.756544,265.93333,0.608647,0.047584,8,0.115187,-8.117,0,0.1206,142.012,4,0.957302
Pony,William Singe,0.543814,0.689078,121.73914,0.310619,0.0,11,0.084144,-10.821,0,0.078305,137.958,4,0.412718
Beautiful Soul,Boyce Avenue,0.393761,0.537576,216.61206,0.507277,0.0,9,0.094635,-6.059,1,0.034176,88.683,4,0.693167
Sweater Weather,James Harris,0.844548,0.401979,216.9156,0.457653,0.004595,4,0.500101,-11.54,0,0.103301,116.157,4,0.319868
Losin Control,Russ,0.509665,0.761358,240.06531,0.246746,0.000275,6,0.096802,-6.597,1,0.145404,97.013,4,0.252725
She's Gone,Jay Ollero,0.602629,0.791299,228.0,0.545458,0.0,10,0.093154,-6.369,1,0.1087,87.013,4,0.778932
Trndsttr (Lucian Remix) [feat. M. Maggie],Black Coast,0.353805,0.794068,179.65819,0.475708,0.003075,2,0.332434,-4.337,0,0.055819,129.827,4,0.452145
Do It,Spice Girls,0.052934,0.672345,244.04,0.859316,0.0,11,0.310035,-5.367,0,0.03524,98.736,4,0.807686
Saturday Night Divas,Spice Girls,0.12181,0.62456,265.89333,0.675309,0.000443,11,0.030651,-8.373,0,0.05977,168.722,4,0.579008
Stop,Spice Girls,0.273994,0.724506,205.82667,0.816937,0.0,0,0.030602,-5.659,1,0.030165,130.134,4,0.966083
Goodbye,Spice Girls,0.084552,0.552279,275.42667,0.694097,0.0,4,0.117149,-4.489,1,0.025996,136.019,4,0.363167
Way Too Long (feat. April Nhem),Kixxie Siete,0.213314,0.407333,267.301,0.429649,0.0,9,0.161311,-10.61,1,0.144799,176.351,4,0.168994
Remember You,G-Eazy,0.344511,0.654074,215.88,0.565146,0.0,4,0.156697,-8.741,0,0.196202,140.079,4,0.202398
Into Your Arms,Capital Kings,0.02729,0.514186,228.4454,0.918414,0.0,4,0.276872,-4.154,0,0.049972,130.077,4,0.284442
Infinity,One Direction,0.068742,0.536972,249.48,0.705253,0.0,4,0.084247,-6.073,1,0.033691,131.965,4,0.294537
History,One Direction,0.035235,0.655389,187.42667,0.698542,0.0,11,0.063987,-4.421,1,0.049346,86.704,4,0.800561
Romance,Crsb,0.859113,0.729671,270.95465,0.404039,1.4e-05,7,0.075314,-7.662,0,0.032165,138.013,4,0.474468
Future Baby Mama,Jacquees,0.059015,0.67717,234.68408,0.479069,0.0,5,0.170977,-9.11,1,0.039624,133.99,4,0.172087
Make Up Sex,Somo,0.159897,0.702649,222.85333,0.58582,0.0,4,0.223314,-5.371,0,0.041267,109.984,4,0.4529
Good For You,Selena Gomez,0.181961,0.606346,221.28,0.676446,0.0,5,0.058995,-6.45,0,0.057583,88.998,4,0.246567
Imagination,Eric Bellinger,0.690039,0.463089,208.53102,0.350247,0.0,7,0.124286,-11.612,1,0.058396,121.461,4,0.184273
Don't,Bryson Tiller,0.16522,0.787355,199.90721,0.325323,0.0,4,0.085445,-6.076,0,0.19533,96.96,4,0.227821
Trap Queen,William Singe,0.593298,0.778903,114.33796,0.277791,0.0,3,0.065731,-12.391,0,0.321568,84.064,5,0.441096
Until You Were Gone,The Chainsmokers,0.026308,0.612889,307.5,0.815776,3e-06,1,0.112224,-5.061,1,0.055508,127.996,4,0.374578
Hotline Bling,Drake,0.070484,0.939959,270.47184,0.700767,3e-06,2,0.073954,-6.036,0,0.060889,134.928,4,0.530504
In The Ayer [feat. will.I.am] [Jason Nevins Mix],Flo Rida,0.000572,0.659208,213.95347,0.929242,0.00052,10,0.32897,-7.311,1,0.044107,129.01,4,0.903274
Low (feat T-Pain)  [Summer Splash Remix],Flo Rida,0.001522,0.661,236.60113,0.965301,0.002562,3,0.101957,-4.381,0,0.03434,127.968,4,0.974871
Who Dat Girl (feat. Akon) (Acapella),Flo Rida,0.481079,0.934003,186.98095,0.412553,0.0,3,0.313974,-9.416,1,0.481037,124.764,4,0.753388
Good Feeling,Flo Rida,0.065,0.704754,247.97333,0.853962,0.001801,1,0.216517,-6.554,0,0.072421,128.006,4,0.679432
Whistle,Flo Rida,0.019594,0.751084,224.12,0.890091,0.0,0,0.242309,-8.352,1,0.044733,103.997,4,0.747537
Shallows,Daughter,0.530866,0.396139,411.12925,0.337175,0.000941,11,0.675899,-15.67,1,0.036366,138.256,4,0.242341
Hold Each Other,A Great Big World,0.061301,0.641462,193.69333,0.781097,0.0,10,0.137104,-5.501,1,0.036431,80.057,4,0.435523
