"Somethin', Somethin' (I Need You Now Album Version)",Smokie Norful,0.039881,0.837295,297.09333,0.692353,7e-06,8,0.061031,-5.147,0,0.23989,90.0,4,0.825979
Same Sad Song (I Need You Now Album Version),Smokie Norful,0.684417,0.442035,277.84,0.329856,0.0,4,0.162842,-8.831,1,0.047391,146.044,4,0.444765
Just Can't Stop (I Need You Now Album Version),Smokie Norful,0.035811,0.662032,204.93333,0.861017,0.0,10,0.408858,-5.244,0,0.087011,112.136,4,0.550701
Psalm 64 (I Need You Now Album Version),Smokie Norful,0.849769,0.302123,229.02667,0.212647,0.0,1,0.072019,-14.105,1,0.028913,83.322,1,0.37235
Same Sad Song (Urban Remix For I Need You Now),Smokie Norful,0.283367,0.76226,280.90667,0.381274,0.0,1,0.631698,-6.939,0,0.057918,145.958,4,0.496224
Power (Reprise),Smokie Norful,0.037667,0.629061,69.57333,0.695418,6e-06,10,0.347659,-8.212,0,0.150897,136.25,4,0.602318
Power (Reprise),Smokie Norful,0.037667,0.629061,69.57333,0.695418,6e-06,10,0.347659,-8.212,0,0.150897,136.25,4,0.602318
Worthy (Album Version),Smokie Norful,0.08546,0.62253,290.76,0.82419,0.0,1,0.381765,-5.942,1,0.047518,138.969,4,0.846258
God Is Able,Smokie Norful,0.821407,0.375814,253.28,0.337755,0.0,8,0.119278,-8.668,1,0.035709,125.277,5,0.357136
I Understand,Smokie Norful,0.344412,0.568602,246.96,0.537082,0.0,8,0.249782,-9.733,1,0.07559,121.877,4,0.438829
I Know the Lord Will Make a Way,Smokie Norful,0.062443,0.254803,346.09333,0.745337,0.0,8,0.110431,-7.397,1,0.081866,199.509,3,0.591066
In the Middle,Smokie Norful,0.438601,0.670185,249.4,0.395498,0.0,5,0.103979,-9.604,1,0.066768,124.147,4,0.284308
Can't Nobody,Smokie Norful,0.520948,0.62404,142.46354,0.758966,0.0,5,0.980947,-11.926,1,0.27119,99.957,4,0.45822
Once in a Lifetime,Smokie Norful,0.620108,0.365784,240.61333,0.46949,0.0,8,0.142156,-7.731,1,0.069261,78.538,4,0.585943
I Need You Now,Smokie Norful,0.805954,0.364047,252.08,0.293092,0.0,5,0.147435,-8.396,0,0.031139,107.036,1,0.301482
God Is Able,Smokie Norful,0.821407,0.375814,253.28,0.337755,0.0,8,0.119278,-8.668,1,0.035709,125.277,5,0.357136
I Understand,Smokie Norful,0.344412,0.568602,246.96,0.537082,0.0,8,0.249782,-9.733,1,0.07559,121.877,4,0.438829
Justified (Live),Smokie Norful,0.027979,0.433195,388.37696,0.886482,0.0,5,0.641146,-3.785,0,0.187766,122.734,3,0.488764
Um Good,Smokie Norful,0.239641,0.370988,286.14612,0.637411,0.0,6,0.173415,-4.085,1,0.044013,100.918,4,0.248703
In the Middle,Smokie Norful,0.438601,0.670185,249.4,0.395498,0.0,5,0.103979,-9.604,1,0.066768,124.147,4,0.284308
Where Would I Be?,Smokie Norful,0.492285,0.633204,284.28,0.530603,0.0,1,0.083083,-7.419,1,0.024306,106.036,4,0.486822
Run Til I Finish,Smokie Norful,0.861028,0.376647,187.13333,0.30933,0.0,1,0.103178,-7.746,1,0.041373,87.518,1,0.57506
Nothing Without You,Smokie Norful,0.772698,0.564764,231.84,0.402168,0.0,2,0.114316,-8.111,0,0.057595,111.775,4,0.207491
Don't Quit (Live),Smokie Norful,0.103769,0.424432,418.88,0.702658,0.0,8,0.384542,-5.829,1,0.090378,105.426,4,0.499894
Celebrate,Smokie Norful,0.011678,0.644593,243.45333,0.882849,0.0,1,0.379533,-5.9,1,0.068763,122.075,4,0.596945
Power (Reprise),Smokie Norful,0.037667,0.629061,69.57333,0.695418,6e-06,10,0.347659,-8.212,0,0.150897,136.25,4,0.602318
Power (Reprise),Smokie Norful,0.037667,0.629061,69.57333,0.695418,6e-06,10,0.347659,-8.212,0,0.150897,136.25,4,0.602318
Worthy (Album Version),Smokie Norful,0.08546,0.62253,290.76,0.82419,0.0,1,0.381765,-5.942,1,0.047518,138.969,4,0.846258
God Is Able,Smokie Norful,0.821407,0.375814,253.28,0.337755,0.0,8,0.119278,-8.668,1,0.035709,125.277,5,0.357136
I Understand,Smokie Norful,0.344412,0.568602,246.96,0.537082,0.0,8,0.249782,-9.733,1,0.07559,121.877,4,0.438829
I Know the Lord Will Make a Way,Smokie Norful,0.062443,0.254803,346.09333,0.745337,0.0,8,0.110431,-7.397,1,0.081866,199.509,3,0.591066
In the Middle,Smokie Norful,0.438601,0.670185,249.4,0.395498,0.0,5,0.103979,-9.604,1,0.066768,124.147,4,0.284308
Can't Nobody,Smokie Norful,0.520948,0.62404,142.46354,0.758966,0.0,5,0.980947,-11.926,1,0.27119,99.957,4,0.45822
Nothing Without You,Smokie Norful,0.772698,0.564764,231.84,0.402168,0.0,2,0.114316,-8.111,0,0.057595,111.775,4,0.207491
Continuous Grace (Album Version),Smokie Norful,0.176107,0.444608,199.32,0.537626,0.0,8,0.126627,-8.895,1,0.058011,116.009,3,0.322245
I Know Too Much About Him,Smokie Norful,0.523393,0.666591,352.82667,0.580314,0.0,8,0.274274,-6.902,1,0.048118,114.088,4,0.480993
Healing in His Tears,Smokie Norful,0.877683,0.348642,276.50748,0.394913,0.0,1,0.262757,-9.651,1,0.035628,117.324,1,0.405185
Work It Out (Live),Ramsey Lewis,0.369541,0.55878,375.53333,0.94228,1e-06,5,0.969676,-4.48,0,0.183777,133.149,4,0.550624
He Knows,Smokie Norful,0.666276,0.461332,317.68,0.612975,0.0,2,0.240683,-6.019,0,0.043222,104.738,3,0.332199
Six Feet of Foreplay,Aborted,0.05645,0.267566,72.14667,0.507015,0.860364,2,0.710135,-16.613,1,0.061748,120.515,4,0.041354
The Extirpation Agenda,Aborted,2e-06,0.383659,191.2,0.994603,0.927722,9,0.708495,-4.576,1,0.265158,129.839,4,0.075461
Necrotic Manifesto,Aborted,2e-06,0.288959,165.10667,0.992962,0.932944,11,0.29654,-4.1,0,0.237219,124.802,4,0.043355
An Enumeration of Cadavers,Aborted,3e-06,0.260683,211.56,0.989822,0.886815,9,0.201712,-4.322,1,0.231899,118.93,4,0.067683
Your Entitlement Means Nothing,Aborted,2.5e-05,0.281415,104.34667,0.949801,0.409317,7,0.285841,-5.699,1,0.284841,115.879,4,0.082269
The Davidian Deceit,Aborted,2e-06,0.239688,212.52,0.990262,0.907352,8,0.804378,-5.36,1,0.221322,123.706,4,0.056787
